Transaction_date,Transaction_ID,Gender,Age,Marital_status,State_names,Segment,Employees_status,Payment_method,Referal,Amount_spent,Months
2019-01-16,151238,Female,64.0,Married,Ohio,Silver,Unemployment,Other,0.0,692.14,2019-01
2019-01-17,151239,Male,64.0,Married,New York,Silver,Unemployment,PayPal,1.0,2418.62,2019-01
2019-01-17,151240,Female,21.0,Married,Kentucky,Basic,workers,Card,0.0,2734.15,2019-01
2019-01-17,151241,Female,46.0,Married,New Mexico,Silver,workers,PayPal,1.0,2851.83,2019-01
2019-01-17,151242,Female,16.0,Single,Texas,Gold,self-employed,PayPal,1.0,938.16,2019-01
2019-01-18,151243,Female,63.0,Married,Maine,Gold,workers,PayPal,1.0,281.92,2019-01
2019-01-19,151244,Male,75.0,Single,Massachusetts,Basic,Employees,PayPal,1.0,747.68,2019-01
2019-01-20,151245,Male,70.0,Married,Wyoming,Basic,Unemployment,Card,1.0,1784.15,2019-01
2019-01-20,151246,Male,41.0,Single,Kentucky,Missing,Employees,PayPal,1.0,1115.9,2019-01
2019-01-21,151247,Male,33.0,Married,Florida,Silver,Employees,Other,0.0,1902.47,2019-01
2019-01-21,151248,Female,64.0,Single,Massachusetts,Platinum,self-employed,Card,1.0,1949.92,2019-01
2019-01-22,151250,Female,16.0,Married,Maryland,Silver,Employees,PayPal,1.0,583.72,2019-01
2019-01-22,151251,Male,56.0,Single,Louisiana,Basic,self-employed,Card,0.0,2445.03,2019-01
2019-01-22,151252,Male,35.0,Married,North Carolina,Basic,Unemployment,PayPal,1.0,1107.96,2019-01
2019-01-23,151253,Male,51.0,Single,Kentucky,Basic,self-employed,PayPal,1.0,1312.78,2019-01
2019-01-23,151254,Male,15.0,Married,Illinois,Basic,Employees,Card,1.0,2690.18,2019-01
2019-01-24,151255,Male,26.0,Single,Rhode Island,Basic,workers,PayPal,1.0,2603.22,2019-01
2019-01-25,151256,Female,67.0,Single,Iowa,Gold,Employees,PayPal,1.0,611.7,2019-01
2019-01-25,151257,Male,71.0,Single,Massachusetts,Gold,Employees,PayPal,1.0,2569.67,2019-01
2019-01-25,151258,Female,32.0,Single,South Carolina,Basic,Employees,Other,0.0,676.7,2019-01
2019-01-25,151259,Male,73.0,Married,West Virginia,Basic,Employees,PayPal,0.0,1397.09,2019-01
2019-01-26,151260,Male,55.0,Married,Kansas,Basic,Employees,Other,1.0,1277.64,2019-01
2019-01-26,151261,Female,72.0,Married,Iowa,Silver,Unemployment,PayPal,0.0,515.77,2019-01
2019-01-26,151262,Male,15.0,Married,South Carolina,Basic,self-employed,Other,1.0,790.1,2019-01
2019-01-27,151263,Female,63.0,Single,Texas,Gold,Employees,Card,1.0,1218.56,2019-01
2019-01-25,151259,Male,73.0,Married,West Virginia,Basic,Employees,PayPal,0.0,1397.09,2019-01
2019-01-26,151260,Male,55.0,Married,Kansas,Basic,Employees,Other,1.0,1277.64,2019-01
2019-01-26,151261,Female,72.0,Married,Iowa,Silver,Unemployment,PayPal,0.0,515.77,2019-01
2019-01-26,151262,Male,15.0,Married,South Carolina,Basic,self-employed,Other,1.0,790.1,2019-01
2019-01-27,151263,Female,63.0,Single,Texas,Gold,Employees,Card,1.0,1218.56,2019-01
2019-01-27,151264,Male,52.0,Married,Tennessee,Basic,self-employed,PayPal,1.0,2850.48,2019-01
2019-01-27,151265,Female,30.0,Single,California,Silver,workers,Card,0.0,1947.2,2019-01
2019-01-29,151266,Male,24.0,Married,Colorado,Platinum,workers,PayPal,0.0,1731.54,2019-01
2019-01-29,151267,Undefined,37.0,Single,Ohio,Basic,Unemployment,Other,1.0,52.08,2019-01
2019-01-29,151269,Male,21.0,Married,Montana,Basic,Employees,PayPal,0.0,340.38,2019-01
2019-01-29,151270,Male,24.0,Married,Oregon,Silver,workers,Other,1.0,1663.72,2019-01
2019-01-30,151271,Undefined,48.0,Married,North Dakota,Basic,Unemployment,Card,1.0,828.41,2019-01
2019-01-30,151272,Female,69.0,Single,Texas,Missing,workers,Card,0.0,489.47,2019-01
2019-01-30,151273,Female,73.0,Married,Alaska,Platinum,self-employed,PayPal,0.0,1364.31,2019-01
2019-01-30,151274,Male,50.0,Single,Oklahoma,Missing,Employees,Card,1.0,2943.46,2019-01
2019-01-30,151275,Male,28.0,Single,Connecticut,Basic,Unemployment,Card,1.0,2768.15,2019-01
2019-01-31,151276,Female,49.0,Married,Vermont,Basic,workers,PayPal,1.0,2439.65,2019-01
2019-01-31,151277,Female,70.0,Married,Ohio,Silver,workers,Other,1.0,574.1,2019-01
2019-02-01,151278,Female,61.0,Single,Oklahoma,Basic,self-employed,Card,0.0,206.79,2019-02
2019-02-02,151280,Male,34.0,Single,Illinois,Silver,workers,PayPal,1.0,1933.66,2019-02
2019-02-02,151281,Female,58.0,Married,Nevada,Gold,workers,Card,0.0,2640.72,2019-02
2019-02-02,151282,Male,70.0,Single,New Jersey,Basic,workers,PayPal,0.0,2969.24,2019-02
2019-02-02,151283,Female,48.0,Married,Louisiana,Silver,Employees,Other,0.0,1144.28,2019-02
2019-02-03,151285,Female,51.0,Married,Indiana,Platinum,workers,PayPal,1.0,2722.37,2019-02
2019-02-03,151286,Male,45.0,Single,New York,Basic,Employees,Other,0.0,2823.89,2019-02
2019-02-04,151287,Female,45.0,Single,New York,Silver,workers,PayPal,0.0,1955.43,2019-02
2019-02-04,151288,Male,60.0,Married,Rhode Island,Silver,Employees,Card,1.0,841.26,2019-02
2019-02-05,151290,Female,51.0,Single,Arkansas,Platinum,workers,Card,1.0,2547.96,2019-02
2019-02-05,151291,Female,15.0,Single,Virginia,Basic,Unemployment,Card,1.0,2922.97,2019-02
2019-02-05,151292,Male,55.0,Married,Michigan,Basic,Employees,PayPal,0.0,803.5,2019-02
2019-02-06,151293,Male,75.0,Married,Maryland,Basic,Employees,Card,1.0,1612.63,2019-02
2019-02-06,151294,Female,77.0,Single,Nebraska,Platinum,Employees,PayPal,1.0,1608.27,2019-02
2019-02-06,151295,Female,22.0,Married,Kansas,Missing,workers,Card,0.0,2061.14,2019-02
2019-02-06,151296,Female,33.0,Married,Virginia,Platinum,Employees,PayPal,0.0,2989.33,2019-02
2019-02-06,151297,Male,60.0,Married,Utah,Silver,Unemployment,Other,1.0,433.2,2019-02
2019-02-07,151298,Female,45.0,Married,Missouri,Platinum,workers,Other,1.0,929.89,2019-02
2019-02-08,151299,Male,33.0,Single,Arizona,Silver,workers,PayPal,0.0,2560.26,2019-02
2019-02-08,151301,Female,53.0,Single,Colorado,Basic,self-employed,Other,1.0,1888.69,2019-02
2019-02-08,151302,Female,70.0,Married,New Hampshire,Missing,Employees,Card,1.0,685.49,2019-02
2019-02-08,151303,Male,16.0,Married,Nebraska,Basic,workers,PayPal,1.0,1264.73,2019-02
2019-02-06,151297,Male,60.0,Married,Utah,Silver,Unemployment,Other,1.0,433.2,2019-02
2019-02-07,151298,Female,45.0,Married,Missouri,Platinum,workers,Other,1.0,929.89,2019-02
2019-02-08,151299,Male,33.0,Single,Arizona,Silver,workers,PayPal,0.0,2560.26,2019-02
2019-02-08,151301,Female,53.0,Single,Colorado,Basic,self-employed,Other,1.0,1888.69,2019-02
2019-02-08,151302,Female,70.0,Married,New Hampshire,Missing,Employees,Card,1.0,685.49,2019-02
2019-02-08,151303,Male,16.0,Married,Nebraska,Basic,workers,PayPal,1.0,1264.73,2019-02
2019-02-10,151305,Female,25.0,Married,Wyoming,Silver,workers,Other,1.0,309.82,2019-02
2019-02-10,151306,Female,76.0,Single,Ohio,Basic,self-employed,PayPal,1.0,1331.62,2019-02
2019-02-11,151307,Female,43.0,Married,Wyoming,Basic,Employees,Card,1.0,914.94,2019-02
2019-02-11,151308,Female,32.0,Single,Oregon,Basic,workers,PayPal,1.0,2922.53,2019-02
2019-02-11,151309,Male,43.0,Married,Tennessee,Silver,self-employed,PayPal,0.0,2434.81,2019-02
2019-02-12,151310,Female,19.0,Single,Louisiana,Platinum,workers,Card,0.0,1711.6,2019-02
2019-02-12,151311,Female,41.0,Married,Utah,Basic,self-employed,Other,0.0,1178.02,2019-02
2019-02-12,151312,Male,32.0,Married,Florida,Silver,Employees,PayPal,1.0,15.37,2019-02
2019-02-12,151313,Male,76.0,Single,Michigan,Silver,Unemployment,PayPal,1.0,764.34,2019-02
2019-02-12,151314,Female,55.0,Married,Kansas,Platinum,Employees,PayPal,1.0,329.18,2019-02
2019-02-13,151315,Female,72.0,Single,South Dakota,Basic,Unemployment,Other,0.0,1380.0,2019-02
2019-02-13,151316,Male,56.0,Single,Virginia,Platinum,self-employed,PayPal,1.0,46.72,2019-02
2019-02-13,151317,Male,74.0,Single,Connecticut,Basic,workers,Other,1.0,560.13,2019-02
2019-02-13,151319,Female,54.0,Married,Georgia,Basic,Unemployment,Other,0.0,1034.15,2019-02
2019-02-14,151320,Female,31.0,Married,Washington,Missing,self-employed,Card,1.0,2508.55,2019-02
2019-02-14,151321,Female,69.0,Single,Montana,Basic,self-employed,PayPal,1.0,2906.08,2019-02
2019-02-15,151322,Male,52.0,Single,Michigan,Gold,Unemployment,PayPal,1.0,1093.33,2019-02
2019-02-15,151323,Female,15.0,Married,Alaska,Basic,self-employed,Other,0.0,1408.1,2019-02
2019-02-16,151324,Male,74.0,Single,Wisconsin,Basic,workers,Card,0.0,490.37,2019-02
2019-02-17,151326,Male,24.0,Married,Louisiana,Missing,Employees,Other,0.0,1204.03,2019-02
2019-02-17,151327,Female,77.0,Single,Kansas,Platinum,self-employed,PayPal,0.0,200.58,2019-02
2019-02-18,151328,Female,16.0,Married,Georgia,Basic,workers,PayPal,0.0,1253.32,2019-02
2019-02-19,151329,Female,33.0,Single,Kentucky,Basic,Employees,Card,0.0,1486.32,2019-02
2019-02-19,151330,Male,26.0,Married,Idaho,Basic,Unemployment,PayPal,0.0,1461.49,2019-02
2019-02-20,151331,Male,28.0,Single,West Virginia,Platinum,workers,Card,1.0,1893.16,2019-02
2019-02-20,151332,Female,49.0,Married,Nebraska,Basic,Employees,PayPal,1.0,1321.7,2019-02
2019-02-20,151333,Male,52.0,Married,New Mexico,Basic,workers,Other,0.0,861.26,2019-02
2019-02-21,151334,Male,18.0,Single,Alabama,Silver,Employees,Other,0.0,459.47,2019-02
2019-02-21,151335,Male,71.0,Single,Oregon,Basic,workers,PayPal,0.0,685.01,2019-02
2019-02-21,151336,Male,22.0,Married,New Mexico,Gold,workers,PayPal,0.0,1862.93,2019-02
2019-02-21,151337,Female,54.0,Married,Michigan,Basic,Unemployment,PayPal,1.0,2831.72,2019-02
2019-02-21,151338,Female,77.0,Married,Montana,Basic,workers,Other,1.0,875.44,2019-02
2019-02-21,151339,Male,59.0,Married,Ohio,Basic,Employees,Other,1.0,435.79,2019-02
2019-02-22,151340,Male,61.0,Married,California,Basic,self-employed,PayPal,1.0,670.59,2019-02
2019-02-23,151341,Female,45.0,Married,Montana,Basic,Employees,PayPal,0.0,2497.39,2019-02
2019-02-23,151342,Male,39.0,Married,Pennsylvania,Silver,workers,Other,1.0,93.11,2019-02
2019-02-24,151343,Male,16.0,Married,Oklahoma,Gold,Employees,Card,1.0,2497.12,2019-02
2019-02-25,151344,Female,28.0,Single,North Dakota,Silver,Employees,Card,1.0,1733.65,2019-02
2019-02-26,151345,Male,25.0,Married,West Virginia,Basic,Employees,PayPal,1.0,2746.61,2019-02
2019-02-26,151346,Female,42.0,Married,Arkansas,Silver,Employees,Card,1.0,2789.59,2019-02
2019-02-26,151347,Female,28.0,Married,California,Basic,Employees,PayPal,1.0,1287.31,2019-02
2019-02-27,151348,Male,63.0,Married,Arizona,Gold,Employees,PayPal,1.0,1747.91,2019-02
2019-02-28,151349,Male,46.0,Single,Rhode Island,Platinum,workers,PayPal,0.0,214.92,2019-02
2019-02-28,151350,Female,78.0,Single,Michigan,Basic,Employees,PayPal,0.0,2555.05,2019-02
2019-03-01,151351,Female,75.0,Married,Oklahoma,Basic,self-employed,Other,1.0,1319.12,2019-03
2019-03-01,151352,Female,64.0,Married,New York,Basic,Employees,PayPal,1.0,1581.77,2019-03
2019-03-02,151353,Female,28.0,Single,Vermont,Silver,workers,Other,1.0,2422.79,2019-03
2019-03-02,151354,Female,42.0,Single,Illinois,Silver,Employees,Card,1.0,971.01,2019-03
2019-03-02,151355,Female,66.0,Married,Georgia,Basic,Employees,PayPal,1.0,783.89,2019-03
2019-03-03,151356,Female,62.0,Married,Mississippi,Silver,Unemployment,Other,1.0,503.49,2019-03
2019-03-03,151357,Male,15.0,Married,Florida,Gold,Employees,Other,1.0,1790.9,2019-03
2019-03-03,151358,Male,76.0,Married,Georgia,Missing,workers,Other,1.0,1832.59,2019-03
2019-03-04,151359,Female,53.0,Married,Nevada,Platinum,self-employed,PayPal,0.0,71.73,2019-03
2019-03-04,151360,Male,39.0,Married,Idaho,Basic,Employees,PayPal,1.0,2486.94,2019-03
2019-03-04,151361,Female,58.0,Married,North Carolina,Silver,Employees,PayPal,1.0,520.69,2019-03
2019-03-05,151362,Female,30.0,Married,New Jersey,Gold,Employees,Card,1.0,918.51,2019-03
2019-03-05,151363,Female,17.0,Single,West Virginia,Basic,self-employed,PayPal,1.0,1070.97,2019-03
2019-03-05,151364,Undefined,40.0,Married,Colorado,Missing,self-employed,PayPal,1.0,1089.97,2019-03
2019-03-06,151365,Female,20.0,Married,Georgia,Silver,self-employed,PayPal,1.0,1618.44,2019-03
2019-03-06,151366,Male,46.0,Married,Alaska,Platinum,Unemployment,Other,1.0,2417.73,2019-03
2019-03-06,151367,Female,36.0,Single,Iowa,Basic,Undefined,PayPal,1.0,677.36,2019-03
2019-03-07,151368,Female,20.0,Married,New York,Basic,workers,PayPal,0.0,2694.2,2019-03
2019-03-07,151369,Female,20.0,Single,Minnesota,Basic,Employees,PayPal,0.0,922.31,2019-03
2019-03-07,151370,Female,30.0,Married,Maryland,Platinum,workers,PayPal,1.0,350.68,2019-03
2019-03-07,151371,Male,40.0,Married,Rhode Island,Silver,workers,Card,1.0,1152.11,2019-03
2019-03-07,151372,Male,45.0,Single,Ohio,Basic,Employees,Other,1.0,1742.52,2019-03
2019-03-08,151373,Female,17.0,Single,Hawaii,Silver,Employees,Card,1.0,655.42,2019-03
2019-03-08,151374,Female,40.0,Married,Idaho,Silver,workers,Other,0.0,1977.22,2019-03
2019-03-09,151375,Female,47.0,Married,West Virginia,Basic,workers,Other,0.0,1829.32,2019-03
2019-03-09,151376,Male,37.0,Married,Oklahoma,Basic,Employees,Card,0.0,782.67,2019-03
2019-03-10,151378,Female,25.0,Single,Wyoming,Platinum,Unemployment,Card,1.0,2740.57,2019-03
2019-03-10,151379,Undefined,32.0,Single,Arkansas,Basic,workers,Other,1.0,215.16,2019-03
2019-03-10,151380,Female,17.0,Married,Mississippi,Basic,Unemployment,Card,1.0,1277.84,2019-03
2019-03-11,151381,Male,47.0,Single,Alabama,Basic,Employees,PayPal,0.0,1500.59,2019-03
2019-03-12,151382,Female,62.0,Married,New Mexico,Platinum,Employees,Card,0.0,103.59,2019-03
2019-03-12,151383,Male,33.0,Married,Delaware,Basic,Employees,Other,1.0,1064.87,2019-03
2019-03-13,151384,Female,72.0,Married,Nevada,Basic,self-employed,Other,0.0,89.91,2019-03
2019-03-13,151385,Male,43.0,Married,Missouri,Silver,Employees,Card,0.0,2903.96,2019-03
2019-03-13,151386,Female,34.0,Married,Alaska,Missing,workers,Card,0.0,1493.1,2019-03
2019-03-14,151387,Female,49.0,Married,Oklahoma,Missing,Employees,PayPal,0.0,2562.52,2019-03
2019-03-14,151389,Female,19.0,Married,Tennessee,Silver,workers,PayPal,0.0,1003.62,2019-03
2019-03-14,151390,Male,47.0,Single,Wyoming,Gold,Unemployment,Other,1.0,234.19,2019-03
2019-03-14,151391,Female,15.0,Married,Wyoming,Basic,Employees,PayPal,1.0,2089.53,2019-03
2019-03-15,151392,Male,66.0,Married,Massachusetts,Silver,workers,PayPal,1.0,2698.5,2019-03
2019-03-15,151394,Male,62.0,Single,Texas,Silver,Employees,Card,0.0,69.84,2019-03
2019-03-16,151395,Undefined,67.0,Single,Illinois,Gold,Employees,Card,1.0,2562.33,2019-03
2019-03-16,151396,Male,21.0,Single,Minnesota,Platinum,workers,PayPal,1.0,2635.13,2019-03
2019-03-17,151398,Male,17.0,Married,Nevada,Silver,Employees,Other,1.0,1092.95,2019-03
2019-03-17,151400,Undefined,15.0,Single,Maine,Basic,workers,Card,1.0,1038.55,2019-03
2019-03-18,151401,Male,64.0,Single,North Carolina,Platinum,Unemployment,Card,1.0,2590.51,2019-03
2019-03-19,151402,Male,54.0,Single,North Dakota,Basic,Employees,Card,1.0,1659.73,2019-03
2019-03-20,151403,Female,45.0,Single,Montana,Platinum,Employees,PayPal,1.0,968.41,2019-03
2019-03-20,151404,Female,43.0,Married,Maine,Silver,workers,PayPal,0.0,705.68,2019-03
2019-03-20,151405,Male,26.0,Married,Minnesota,Basic,Employees,Card,0.0,982.4,2019-03
2019-03-21,151406,Male,17.0,Single,North Carolina,Basic,self-employed,Other,1.0,1390.46,2019-03
2019-03-21,151407,Male,78.0,Married,Idaho,Silver,workers,Card,0.0,378.43,2019-03
2019-03-21,151408,Female,65.0,Married,Vermont,Platinum,Employees,Card,1.0,61.35,2019-03
2019-03-21,151409,Male,19.0,Single,Massachusetts,Basic,Unemployment,PayPal,1.0,1081.9,2019-03
2019-03-21,151411,Female,35.0,Single,New Mexico,Basic,workers,PayPal,0.0,2878.76,2019-03
2019-03-22,151412,Female,41.0,Married,Michigan,Silver,Employees,PayPal,1.0,225.14,2019-03
2019-03-22,151413,Male,59.0,Single,Missouri,Platinum,workers,Other,1.0,2452.97,2019-03
2019-03-22,151414,Female,64.0,Married,Vermont,Platinum,workers,Other,1.0,2054.68,2019-03
2019-03-23,151415,Female,15.0,Single,New York,Basic,self-employed,PayPal,1.0,1690.62,2019-03
2019-03-23,151416,Female,58.0,Married,Kentucky,Basic,Employees,PayPal,0.0,931.82,2019-03
2019-03-23,151417,Male,62.0,Married,Vermont,Basic,Employees,Card,1.0,2875.62,2019-03
2019-03-23,151418,Male,41.0,Single,Virginia,Basic,Employees,Card,1.0,1326.62,2019-03
2019-03-23,151419,Undefined,62.0,Married,North Carolina,Silver,Employees,PayPal,1.0,2909.85,2019-03
2019-03-24,151420,Female,18.0,Single,Florida,Silver,workers,PayPal,1.0,2493.01,2019-03
2019-03-24,151421,Male,63.0,Married,Indiana,Gold,self-employed,Card,1.0,414.51,2019-03
2019-03-25,151422,Female,71.0,Married,Oklahoma,Gold,workers,PayPal,1.0,1865.09,2019-03
2019-03-25,151424,Female,51.0,Married,Oklahoma,Platinum,workers,PayPal,1.0,1165.53,2019-03
2019-03-25,151426,Female,78.0,Single,Indiana,Basic,Employees,PayPal,1.0,1264.81,2019-03
2019-03-26,151427,Male,70.0,Married,South Dakota,Platinum,Employees,PayPal,1.0,1989.96,2019-03
2019-03-27,151429,Male,16.0,Married,Idaho,Basic,self-employed,PayPal,1.0,387.77,2019-03
2019-03-28,151430,Female,18.0,Single,Illinois,Basic,Unemployment,PayPal,1.0,2589.36,2019-03
2019-03-29,151431,Female,53.0,Single,Virginia,Platinum,workers,PayPal,0.0,1494.1,2019-03
2019-03-29,151432,Female,47.0,Single,South Carolina,Silver,workers,Card,1.0,2779.66,2019-03
2019-03-29,151433,Male,57.0,Married,New Jersey,Platinum,Unemployment,Other,1.0,841.23,2019-03
2019-03-29,151435,Male,19.0,Married,Massachusetts,Gold,workers,Other,1.0,2694.54,2019-03
2019-03-29,151436,Male,64.0,Single,Mississippi,Basic,Employees,Card,0.0,2432.67,2019-03
2019-03-29,151437,Male,57.0,Single,Nevada,Basic,self-employed,PayPal,1.0,80.64,2019-03
2019-03-30,151438,Female,67.0,Married,South Carolina,Basic,workers,PayPal,1.0,2960.41,2019-03
2019-03-30,151439,Female,53.0,Married,New Hampshire,Basic,workers,Other,0.0,2600.69,2019-03
2019-03-30,151440,Female,68.0,Married,Ohio,Basic,Employees,PayPal,1.0,550.44,2019-03
2019-03-31,151441,Female,44.0,Single,Virginia,Platinum,Undefined,PayPal,0.0,1226.06,2019-03
2019-03-31,151442,Female,78.0,Married,New York,Missing,Employees,PayPal,0.0,2959.54,2019-03
2019-03-31,151443,Female,76.0,Single,Vermont,Platinum,Employees,Other,1.0,1672.01,2019-03
2019-03-31,151444,Female,60.0,Single,New Jersey,Basic,self-employed,Card,1.0,1891.16,2019-03
2019-03-31,151445,Female,45.0,Married,Arizona,Basic,workers,Card,1.0,1692.07,2019-03
2019-04-01,151446,Male,54.0,Single,West Virginia,Gold,self-employed,PayPal,1.0,485.43,2019-04
2019-04-01,151447,Female,57.0,Single,Georgia,Basic,Unemployment,PayPal,1.0,625.29,2019-04
2019-04-01,151448,Male,48.0,Single,Wisconsin,Basic,self-employed,PayPal,1.0,1471.54,2019-04
2019-04-02,151449,Undefined,62.0,Married,New Mexico,Gold,self-employed,PayPal,0.0,1200.69,2019-04
2019-04-02,151450,Male,27.0,Single,California,Basic,Employees,PayPal,1.0,1929.33,2019-04
2019-04-02,151452,Male,57.0,Married,Texas,Silver,Employees,PayPal,1.0,2670.72,2019-04
2019-04-03,151454,Male,34.0,Married,Texas,Basic,self-employed,Card,0.0,1901.16,2019-04
2019-04-04,151455,Female,48.0,Married,Alaska,Gold,workers,Card,0.0,1728.06,2019-04
2019-04-04,151456,Female,-1.0,Married,New Mexico,Basic,Unemployment,Card,1.0,2863.62,2019-04
2019-04-04,151457,Female,49.0,Single,Hawaii,Basic,workers,PayPal,1.0,1822.31,2019-04
2019-04-04,151458,Female,77.0,Single,Arizona,Basic,self-employed,Card,0.0,711.52,2019-04
2019-04-06,151461,Female,15.0,Married,Arizona,Basic,self-employed,PayPal,1.0,198.48,2019-04
2019-04-06,151462,Female,58.0,Married,Mississippi,Basic,workers,PayPal,1.0,418.28,2019-04
2019-04-06,151463,Male,27.0,Single,Oregon,Silver,workers,PayPal,0.0,913.81,2019-04
2019-04-07,151465,Female,36.0,Married,Texas,Platinum,Employees,Card,0.0,1608.01,2019-04
2019-04-07,151466,Male,43.0,Married,Montana,Basic,Unemployment,PayPal,1.0,2681.13,2019-04
2019-04-07,151467,Female,-1.0,Married,Nevada,Basic,self-employed,Card,1.0,2414.29,2019-04
2019-04-07,151468,Female,59.0,Married,Iowa,Gold,Employees,PayPal,0.0,2410.23,2019-04
2019-04-08,151469,Female,73.0,Married,Texas,Basic,workers,PayPal,1.0,63.2,2019-04
2019-04-08,151470,Female,32.0,Married,New York,Gold,Unemployment,Other,0.0,522.24,2019-04
2019-04-08,151471,Female,51.0,Married,South Dakota,Silver,workers,PayPal,1.0,2558.27,2019-04
2019-04-08,151472,Female,51.0,Married,Vermont,Basic,self-employed,Other,1.0,603.47,2019-04
2019-04-09,151473,Female,45.0,Single,Colorado,Silver,Employees,Card,0.0,2790.3,2019-04
2019-04-10,151474,Female,50.0,Married,South Carolina,Platinum,Employees,PayPal,1.0,801.07,2019-04
2019-04-10,151475,Female,56.0,Married,Wyoming,Basic,Employees,PayPal,1.0,250.81,2019-04
2019-04-10,151476,Female,74.0,Married,Florida,Basic,workers,Other,1.0,2076.39,2019-04
2019-04-10,151477,Female,49.0,Married,Oklahoma,Platinum,workers,PayPal,0.0,2692.4,2019-04
2019-04-10,151478,Male,22.0,Single,Pennsylvania,Basic,Employees,PayPal,1.0,2928.57,2019-04
2019-04-11,151479,Female,71.0,Single,Vermont,Platinum,Employees,PayPal,1.0,1707.96,2019-04
2019-04-11,151480,Male,59.0,Married,Mississippi,Basic,self-employed,Card,1.0,2501.05,2019-04
2019-04-11,151481,Female,46.0,Married,Oklahoma,Basic,Employees,Card,1.0,1757.27,2019-04
2019-04-11,151482,Male,47.0,Single,Georgia,Platinum,workers,PayPal,1.0,1994.46,2019-04
2019-04-11,151483,Female,-1.0,Single,Indiana,Silver,workers,PayPal,0.0,1925.0,2019-04
2019-04-11,151484,Male,56.0,Single,Florida,Missing,workers,Other,1.0,1600.96,2019-04
2019-04-12,151485,Female,55.0,Married,Arizona,Basic,self-employed,Other,1.0,2773.68,2019-04
2019-04-12,151486,Male,43.0,Single,Nebraska,Silver,self-employed,PayPal,1.0,2749.66,2019-04
